equivalence,1.5,08241504,63211042
equivalence,1.5,08241504,TY000003
equivalence,1.5,08241504,ZTY00003
equivalence,1.5,08241504,02261037
equivalence,1.5,08241504,02271154
equivalence,1.5,08241504,TY000011
equivalence,1.5,08241504,ZTY00011
equivalence,1.5,08241504,01211841
equivalence,1.5,08241504,01211842
equivalence,1.5,08241504,01211867
equivalence,1.5,08241504,01252939
equivalence,1.5,08241504,04211159
equivalence,1.5,08241504,MOOC2075
equivalence,1.5,08241504,MY100006
equivalence,1.5,08241504,TY000012
equivalence,1.5,08241504,ZMY10006
equivalence,1.5,08241504,ZTY00012
equivalence,1.5,08241504,63211039
equivalence,1.5,08241504,TR000017
equivalence,1.5,08241504,ZTR00017
